homogen,penelitian,phantomA,phantomB,ukurManual
0.008376281,0.03182662,0.1127596,0.0753792,0.0164
0.003756638,0.01013193,0.06262527,0.04819253,0.0103
0.002399644,0.005560133,0.04791817,0.02853447,0.0062
0.001609371,0.003056348,0.0352529,0.01715426,0.0036
0.001385819,0.002620572,0.03231909,0.01405188,0.003
0.001245664,0.002177585,0.0298076,0.01200074,0.0025
0.001188908,0.001727387,0.02924327,0.01100084,0.0025
0.00121297,0.001711688,0.03000157,0.01399791,0.0033
0.001317849,0.002130489,0.03162211,0.02099196,0.005
0.001713407,0.005836433,0.03910965,0.02274591,0.0053
0.002399644,0.005941329,0.04791817,0.02547835,0.0046
0.004395594,0.006050832,0.07604847,0.04088859,0.008
0.007701257,0.006467438,0.1064214,0.06897665,0.0152
0.008376281,0.01038851,0.1127596,0.1205445,0.0258
0.004395594,0.005648333,0.07604847,0.06217218,0.0133
0.002171999,0.003054639,0.04506178,0.029244,0.0062
0.001705495,0.002607425,0.03861291,0.02175992,0.0045
0.001385819,0.002159,0.03231909,0.01632818,0.0035
0.00121297,0.001709363,0.03000157,0.01294878,0.0028
0.001137931,0.001688929,0.02853745,0.01363107,0.0031
0.001160703,0.002097699,0.02881565,0.01837506,0.0044
0.001317849,0.005732798,0.03162211,0.01912457,0.0045
0.001609371,0.005835719,0.0352529,0.01853698,0.0035
0.002171999,0.005941629,0.04506178,0.02103324,0.004
0.003005732,0.006246779,0.05509335,0.02661336,0.0058
0.007701257,0.0150692,0.1064214,0.0703057,0.0154
0.008376281,0.03182662,0.1127596,0.0753792,0.0255
0.007701257,0.005694684,0.1064214,0.1198523,0.0105
0.003005732,0.003030414,0.05509335,0.04928629,0.0074
0.002171999,0.002575708,0.04506178,0.03478424,0.0052
0.001609371,0.002126282,0.0352529,0.02432598,0.0039
0.001317849,0.001682137,0.03162211,0.0179115,0.0039
0.001160703,0.001660704,0.02881565,0.01688511,0.0051
0.001137931,0.002061981,0.02853745,0.0212468,0.0051
0.00121297,0.005633454,0.03000157,0.02163226,0.0038
0.001385819,0.005734579,0.03231909,0.01940814,0.0037
0.001705495,0.005838619,0.03861291,0.01957236,0.0046
0.002171999,0.006136985,0.04506178,0.02212492,0.0088
0.004395594,0.01479965,0.07604847,0.0407272,0.0162
0.003756638,0.01013193,0.06262527,0.04819253,0.0162
0.008376281,0.01038851,0.1127596,0.1205445,0.0098
0.007701257,0.006920435,0.1064214,0.07625151,0.0061
0.004395594,0.003628573,0.07604847,0.04702989,0.0044
0.002399644,0.001678779,0.04791817,0.02818995,0.004
0.001713407,0.001071055,0.03910965,0.0197317,0.0051
0.001317849,0.0008052119,0.03162211,0.01739362,0.0051
0.00121297,0.0008812496,0.03000157,0.02117571,0.0037
0.001188908,0.00210412,0.02924327,0.02134896,0.0033
0.001245664,0.002139666,0.0298076,0.01852757,0.004
0.001385819,0.002173858,0.03231909,0.01784856,0.0062
0.001609371,0.002117847,0.0352529,0.01931191,0.0103
0.002399644,0.004770536,0.04791817,0.02942657,0.0257
0.002399644,0.005560133,0.04791817,0.02853447,0.0166
0.004395594,0.005648333,0.07604847,0.06217218,0.0074
0.007701257,0.005694684,0.1064214,0.1198523,0.0046
0.008376281,0.007848813,0.1127596,0.07742195,0.0036
0.003756638,0.002964965,0.06262527,0.03389167,0.0043
0.002399644,0.001663929,0.04791817,0.02122238,0.0042
0.001609371,0.0009759455,0.0352529,0.01594247,0.0029
0.001385819,0.0009010134,0.03231909,0.01805194,0.0025
0.001245664,0.001668365,0.0298076,0.01783681,0.0028
0.001188908,0.001692509,0.02924327,0.01453437,0.004
0.00121297,0.001711678,0.03000157,0.01319775,0.006
0.001317849,0.001399136,0.03162211,0.01382695,0.0133
0.001713407,0.002681954,0.03910965,0.0189392,0.0258
0.001609371,0.003056348,0.0352529,0.01715426,0.0163
0.002171999,0.003054639,0.04506178,0.029244,0.0082
0.003005732,0.003030414,0.05509335,0.04928629,0.0043
0.007701257,0.006920435,0.1064214,0.07625151,0.0043
0.008376281,0.007654343,0.1127596,0.07554667,0.0041
0.004395594,0.003677421,0.07604847,0.0381327,0.0028
0.002171999,0.001515167,0.04506178,0.01919034,0.0022
0.001705495,0.001167579,0.03861291,0.01871959,0.0022
0.001385819,0.001595263,0.03231909,0.0178012,0.0027
0.00121297,0.001613307,0.03000157,0.01317907,0.0036
0.001137931,0.001623048,0.02853745,0.01088811,0.0063
0.001160703,0.001079214,0.02881565,0.01092833,0.0106
0.001317849,0.00155698,0.03162211,0.01301705,0.0164
0.001385819,0.002620572,0.03231909,0.01405188,0.0152
0.001705495,0.002607425,0.03861291,0.02175992,0.006
0.002171999,0.002575708,0.04506178,0.03478424,0.0052
0.004395594,0.003628573,0.07604847,0.04702989,0.0048
0.008376281,0.007848813,0.1127596,0.07742195,0.0031
0.007701257,0.007111531,0.1064214,0.07046266,0.0022
0.003005732,0.002422875,0.05509335,0.02713724,0.0022
0.002171999,0.001680947,0.04506178,0.02317867,0.0024
0.001609371,0.001884814,0.0352529,0.02124212,0.0028
0.001317849,0.001902059,0.03162211,0.01446167,0.0046
0.001160703,0.001907967,0.02881565,0.01091964,0.0075
0.001137931,0.001158079,0.02853745,0.01061604,0.0101
0.00121297,0.001395614,0.03000157,0.01166012,0.0166
0.001245664,0.002177585,0.0298076,0.01200074,0.0155
0.001385819,0.002159,0.03231909,0.01632818,0.0091
0.001609371,0.002126282,0.0352529,0.02432598,0.0075
0.002399644,0.001678779,0.04791817,0.02818995,0.0044
0.003756638,0.002964965,0.06262527,0.03389167,0.0028
0.008376281,0.007654343,0.1127596,0.07554667,0.0025
0.007701257,0.007391038,0.1064214,0.07145316,0.0024
0.004395594,0.003878738,0.07604847,0.04217783,0.0026
0.002399644,0.002401792,0.04791817,0.0343385,0.0035
0.001713407,0.002410168,0.03910965,0.02014119,0.0052
0.001317849,0.002402555,0.03162211,0.01253568,0.0061
0.00121297,0.001328936,0.03000157,0.01152198,0.0074
0.001188908,0.001253946,0.02924327,0.01134367,0.0164
0.001188908,0.001727387,0.02924327,0.01100084,0.0158
0.00121297,0.001709363,0.03000157,0.01294878,0.012
0.001317849,0.001682137,0.03162211,0.0179115,0.0068
0.001713407,0.001071055,0.03910965,0.0197317,0.0039
0.002399644,0.001663929,0.04791817,0.02122238,0.0032
0.004395594,0.003677421,0.07604847,0.0381327,0.0026
0.007701257,0.007111531,0.1064214,0.07046266,0.0024
0.008376281,0.007760952,0.1127596,0.07571707,0.0028
0.003756638,0.003146198,0.06262527,0.05709033,0.004
0.002399644,0.003137636,0.04791817,0.03021761,0.0043
0.001609371,0.003106811,0.0352529,0.01573622,0.0046
0.001385819,0.001591783,0.03231909,0.01364615,0.0083
0.001245664,0.001131975,0.0298076,0.01206769,0.0152
0.00121297,0.001711688,0.03000157,0.01399791,0.0306
0.001137931,0.001688929,0.02853745,0.01363107,0.0157
0.001160703,0.001660704,0.02881565,0.01688511,0.0075
0.001317849,0.0008052119,0.03162211,0.01739362,0.0055
0.001609371,0.0009759455,0.0352529,0.01594247,0.0041
0.002171999,0.001515167,0.04506178,0.01919034,0.0032
0.003005732,0.002422875,0.05509335,0.02713724,0.003
0.007701257,0.007391038,0.1064214,0.07145316,0.0039
0.008376281,0.005522489,0.1127596,0.147193,0.004
0.004395594,0.005423329,0.07604847,0.06999751,0.0037
0.002171999,0.005285376,0.04506178,0.02854468,0.0043
0.001705495,0.002561226,0.03861291,0.02283456,0.0059
0.001385819,0.001369997,0.03231909,0.01798563,0.0153
0.001317849,0.002130489,0.03162211,0.02099196,0.0307
0.001160703,0.002097699,0.02881565,0.01837506,0.0134
0.001137931,0.002061981,0.02853745,0.0212468,0.0095
0.00121297,0.0008812496,0.03000157,0.02117571,0.0066
0.001385819,0.0009010134,0.03231909,0.01805194,0.0048
0.001705495,0.001167579,0.03861291,0.01871959,0.0044
0.002171999,0.001680947,0.04506178,0.02317867,0.0051
0.004395594,0.003878738,0.07604847,0.04217783,0.005
0.008376281,0.007760952,0.1127596,0.07571707,0.0042
0.007701257,0.009267246,0.1064214,0.1394809,0.0043
0.003005732,0.008938248,0.05509335,0.05096108,0.005
0.002171999,0.004237265,0.04506178,0.03908721,0.009
0.001609371,0.001968012,0.0352529,0.0290975,0.0156
0.001713407,0.005836433,0.03910965,0.02274591,0.0171
0.001317849,0.005732798,0.03162211,0.01912457,0.0111
0.00121297,0.005633454,0.03000157,0.02163226,0.0072
0.001188908,0.00210412,0.02924327,0.02134896,0.0051
0.001245664,0.001668365,0.0298076,0.01783681,0.0045
0.001385819,0.001595263,0.03231909,0.0178012,0.0051
0.001609371,0.001884814,0.0352529,0.02124212,0.005
0.002399644,0.002401792,0.04791817,0.0343385,0.0041
0.003756638,0.003146198,0.06262527,0.05709033,0.004
0.008376281,0.005522489,0.1127596,0.147193,0.0047
0.007701257,0.03228497,0.1064214,0.06926259,0.0073
0.004395594,0.0150423,0.07604847,0.04800185,0.0118
0.002399644,0.006226123,0.04791817,0.03249629,0.0302
0.002399644,0.005941329,0.04791817,0.02547835,0.0162
0.001609371,0.005835719,0.0352529,0.01853698,0.0072
0.001385819,0.005734579,0.03231909,0.01940814,0.0047
0.001245664,0.002139666,0.0298076,0.01852757,0.0035
0.001188908,0.001692509,0.02924327,0.01453437,0.0038
0.00121297,0.001613307,0.03000157,0.01317907,0.0037
0.001317849,0.001902059,0.03162211,0.01446167,0.0029
0.001713407,0.002410168,0.03910965,0.02014119,0.0028
0.002399644,0.003137636,0.04791817,0.03021761,0.003
0.004395594,0.005423329,0.07604847,0.06999751,0.0044
0.007701257,0.009267246,0.1064214,0.1394809,0.0067
0.008376281,0.01534131,0.1127596,0.08118495,0.0157
0.003756638,0.006344896,0.06262527,0.04023226,0.0312
0.004395594,0.006050832,0.07604847,0.04088859,0.0156
0.002171999,0.005941629,0.04506178,0.02103324,0.008
0.001705495,0.005838619,0.03861291,0.01957236,0.004
0.001385819,0.002173858,0.03231909,0.01784856,0.0037
0.00121297,0.001711678,0.03000157,0.01319775,0.0034
0.001137931,0.001623048,0.02853745,0.01088811,0.0025
0.001160703,0.001907967,0.02881565,0.01091964,0.0022
0.001317849,0.002402555,0.03162211,0.01253568,0.0022
0.001609371,0.003106811,0.0352529,0.01573622,0.0028
0.002171999,0.005285376,0.04506178,0.02854468,0.0038
0.003005732,0.008938248,0.05509335,0.05096108,0.0074
0.007701257,0.03228497,0.1064214,0.06926259,0.0135
0.008376281,0.006572844,0.1127596,0.07913842,0.0174
0.007701257,0.006467438,0.1064214,0.06897665,0.0151
0.003005732,0.006246779,0.05509335,0.02661336,0.0058
0.002171999,0.006136985,0.04506178,0.02212492,0.0048
0.001609371,0.002117847,0.0352529,0.01931191,0.004
0.001317849,0.001399136,0.03162211,0.01382695,0.0029
0.001160703,0.001079214,0.02881565,0.01092833,0.0022
0.001137931,0.001158079,0.02853745,0.01061604,0.0022
0.00121297,0.001328936,0.03000157,0.01152198,0.0025
0.001385819,0.001591783,0.03231909,0.01364615,0.0031
0.001705495,0.002561226,0.03861291,0.02283456,0.0055
0.002171999,0.004237265,0.04506178,0.03908721,0.0096
0.004395594,0.0150423,0.07604847,0.04800185,0.0113
0.008376281,0.01534131,0.1127596,0.08118495,0.0163
0.007701257,0.0150692,0.1064214,0.0703057,0.0153
0.004395594,0.01479965,0.07604847,0.0407272,0.0089
0.002399644,0.004770536,0.04791817,0.02942657,0.0064
0.001713407,0.002681954,0.03910965,0.0189392,0.004
0.001317849,0.00155698,0.03162211,0.01301705,0.0027
0.00121297,0.001395614,0.03000157,0.01166012,0.0024
0.001188908,0.001253946,0.02924327,0.01134367,0.0024
0.001245664,0.001131975,0.0298076,0.01206769,0.0026
0.001385819,0.001369997,0.03231909,0.01798563,0.0041
0.001609371,0.001968012,0.0352529,0.0290975,0.0067
0.002399644,0.006226123,0.04791817,0.03249629,0.0072
0.003756638,0.006344896,0.06262527,0.04023226,0.0073
0.008376281,0.006572844,0.1127596,0.07913842,0.0157
